Filename,Dropbox URL,Vercel URL
cars-parked-outdoor-parking-min.webp,https://www.dropbox.com/scl/fi/24rxti02dufw7znc7zla7/cars-parked-outdoor-parking-min.webp?rlkey=f597xdn6gca74gxdy1a72km2e&st=c7yxbqm6&dl=0&raw=1,https://69sfgmk1pv2omedb.public.blob.vercel-storage.com/new-templates/hotels/cars-parked-outdoor-parking-min.webp
man-woman-running-treadmills-modern-gym-min.webp,https://www.dropbox.com/scl/fi/cho0nm28eweqaylz6w58i/man-woman-running-treadmills-modern-gym-min.webp?rlkey=hzjhqrjexw4wimufl5kuivsst&st=oi21zqzv&dl=0&raw=1,https://69sfgmk1pv2omedb.public.blob.vercel-storage.com/new-templates/hotels/man-woman-running-treadmills-modern-gym-min.webp
GettyImages-1401517574-1.webm,https://www.dropbox.com/scl/fi/d87effx4l22ahgz5nyk6y/GettyImages-1401517574-1.mov?rlkey=1hwitk1q1kkjdjxv58pkgf25o&st=d3yvigoh&dl=0&raw=1,https://69sfgmk1pv2omedb.public.blob.vercel-storage.com/new-templates/hotels/GettyImages-1401517574-1.webm
restaurant-hall-with-leather-armchairs-french-windows-min.webp,https://www.dropbox.com/scl/fi/gzvnryzscrcdbzn469zpm/restaurant-hall-with-leather-armchairs-french-windows-min.webp?rlkey=gbedgly24sy5faqn8y9x83jhd&st=zokhyvlr&dl=0&raw=1,https://69sfgmk1pv2omedb.public.blob.vercel-storage.com/new-templates/hotels/restaurant-hall-with-leather-armchairs-french-windows-min.webp
deq2eR5qHdsS8PueXsBfYhVQxss.avif,https://www.dropbox.com/scl/fi/l8xtu10y4s6lggby1xrm2/deq2eR5qHdsS8PueXsBfYhVQxss.avif?rlkey=xr07c907ou3ovoim8wrwv79mg&st=ixlc3z5j&dl=0&raw=1,https://69sfgmk1pv2omedb.public.blob.vercel-storage.com/new-templates/hotels/deq2eR5qHdsS8PueXsBfYhVQxss.avif
mall-high-luxury-uhd-wallpaper-min.webp,https://www.dropbox.com/scl/fi/o1ww0qpeq6szc2neoqeco/mall-high-luxury-uhd-wallpaper-min.webp?rlkey=ianzq8840dd3997oh8rhn1mk5&st=pn9y37td&dl=0&raw=1,https://69sfgmk1pv2omedb.public.blob.vercel-storage.com/new-templates/hotels/mall-high-luxury-uhd-wallpaper-min.webp
hammocks-near-pool-min.webp,https://www.dropbox.com/scl/fi/pbngntcosuww44c2ahyn9/hammocks-near-pool-min.webp?rlkey=0iao2j8c5cfdp0udpn4f7wph3&st=5sqgp6mj&dl=0&raw=1,https://69sfgmk1pv2omedb.public.blob.vercel-storage.com/new-templates/hotels/hammocks-near-pool-min.webp
mid-century-modern-style-interior-neural-network-generated-picture-min.webp,https://www.dropbox.com/scl/fi/slz5th0ksg365kniswlju/mid-century-modern-style-interior-neural-network-generated-picture-min.webp?rlkey=3ephnnnnhwnq3qra2zkess7kc&st=joy9dc3u&dl=0&raw=1,https://69sfgmk1pv2omedb.public.blob.vercel-storage.com/new-templates/hotels/mid-century-modern-style-interior-neural-network-generated-picture-min.webp
hotel-checkin-counter-featuring-local-artwork-cultural-motifs-min.webp,https://www.dropbox.com/scl/fi/t6zvxpaiuxr8kthzf6glr/hotel-checkin-counter-featuring-local-artwork-cultural-motifs-min.webp?rlkey=qvqc038apyouvlt5qggagb7rf&st=ys2kbq4p&dl=0&raw=1,https://69sfgmk1pv2omedb.public.blob.vercel-storage.com/new-templates/hotels/hotel-checkin-counter-featuring-local-artwork-cultural-motifs-min.webp
CFp2HUamNRnKG45QU2GFNdYDgk.avif,https://www.dropbox.com/scl/fi/ttvgb3nrqt2z5ubes037m/CFp2HUamNRnKG45QU2GFNdYDgk.avif?rlkey=1unplzmjcp2lihejxbppms6dy&st=5gijisk7&dl=0&raw=1,https://69sfgmk1pv2omedb.public.blob.vercel-storage.com/new-templates/hotels/CFp2HUamNRnKG45QU2GFNdYDgk.avif
eZr7r3hZ3SfMITm089bWmMYDVk.avif,https://www.dropbox.com/scl/fi/zfe38vqcf7vmb1u354nz3/eZr7r3hZ3SfMITm089bWmMYDVk.avif?rlkey=1jx5onrl8ieozsgdn26z55z2d&st=epynq2bn&dl=0&raw=1,https://69sfgmk1pv2omedb.public.blob.vercel-storage.com/new-templates/hotels/eZr7r3hZ3SfMITm089bWmMYDVk.avif
KKYjmUA62hs6qFhvp1gzyFBmrBE.avif,https://www.dropbox.com/scl/fi/zpzrp5zhk34kl4bjmmj7z/KKYjmUA62hs6qFhvp1gzyFBmrBE.avif?rlkey=zo8hbo8pya5vu369h7z37hw0k&st=c91377p7&dl=0&raw=1,https://69sfgmk1pv2omedb.public.blob.vercel-storage.com/new-templates/hotels/KKYjmUA62hs6qFhvp1gzyFBmrBE.avif
